Category,Url,Product Title,SKU,Price,Save percent,Product list price,Image url,Product details,UPC,Collection,Available Options,Manufacturer Resources,Product Gallery,About the Manufacturer
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-st8937-stark-new-62-5-8-inch-furniture-panel-for-niche-alcove-for-700333000000090-bathtub.html,DURAVIT ST893708282 STARK NEW 62-5/8 INCH FURNITURE PANEL FOR NICHE (ALCOVE) FOR 700333000000090 BATHTUB,ST893708282,$589.02,46%,$1090.00,https://www.kbauthority.com/images/T/58/duravit-starck-moebelverkleidung-fuer-nische-fuer-wanne-700334-335-336-337-macassar-echtholzfurnier--dur-st893802424_0-01.jpg,"Duravit ST8937 Stark New 62-5/8 Inch Furniture Panel for Niche (Alcove) for 700333000000090 Bathtub
Please note, that this is a bathtub panel only. BATHTUB NOT INLUDED.
Features:
		62-5/8 Inch
		Furniture Panel for Niche (Alcove)
		Compatible with: 700333000000090  Bathtub
Available Colors: 
		Oak (Real Wood Veneer): ST893700505
		Brushed Oak (Real Wood Veneer): ST893701212
		American Walnut (Real Wood Veneer): ST893701313
		Terra (Decor): ST893701414
		Macassar (Real Wood Veneer): ST893702424
		American Cherry Tree (Real Wood Veneer): ST893702626
		Pine Silver (Decor): ST893703131
		Basalt Matte (Decor): ST893704343
		Graphite Matte (Decor): ST893704949
		Pine Terra (Decor): ST893705151
		European Oak (Decor): ST893705252
		Chestnut Dark (Decor): ST893705353
		Brushed Walnut (Real Wood Veneer): ST893706969
		Mediterranean Oak (Real Wood Veneer): ST893707171
		Brushed Dark Oak (Real Wood Veneer): ST893707272
		Ticino Cherry Tree (Decor): ST893707373
		Natural Walnut (Decor): ST893707979
		White Acrylic: ST893708282
Additional information
	The included support frame is required for the installation of the panel, Heights of Starck series: Height bathtub panel = 21 7/8"", height bathtub panel incl. 3/8"" shadow gap = 22 1/4"", overall height incl. bathtub rim 1 3/8"" = 23 5/8""
SKU: ST893700505 ST893701212 ST893701313 ST893701414 ST893702424 ST893702626 ST893703131 ST893704343 ST893704949 ST893705151 ST893705252 ST893705353 ST893706969 ST893707171 ST893707272 ST893707373 ST893707979 ST893708282",04021534649431,Starck,"ST893708282
White Acrylic 
$589.02",,"https://www.kbauthority.com/images/W/70/82-27.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-0022190000-vero-urinal-cover-with-slow-close-in-white.html,Duravit 0022190000 Vero Urinal Cover with Slow Close in White,0022190000,$213.85, 35%,$330.00,https://www.kbauthority.com/images/T/314/0022190000_Duravit.jpg,"Duravit 0022190000 Vero Urinal Cover with Slow Close in WhiteDuravit has been the Proud Recipient of Numerous International Design Awards.These Awards Celebrate Bold Design, which has Become Duravit’s Hallmark over the Years.Each Duravit Designer is a Specialist in His Field – a Prominent Global Innovator with an Inherent Sense for Good Design. Good Design, as Duravit and Its Designers See It, is never at the Expense of Practicality – Neither is Interested in “Design for Design’s Sake”.That’s You, the Bathroom User, and Your Own Set of Needs and Requirements. Thanks to an Ongoing Dialogue with Its Trade Partners and Sanitary Ware Dealers, Duravit is Best Able to Address these Needs and Requirements in the Brand’s Designs. Simply Put, Duravit Recognizes Good Bathroom Design by the Fact that It Seems Specially-Created to Suit All Individual Tastes.This Fusion of Duravit’s Environmentally-Friendly Production Technologies with the Company’s Meticulous Quality Control Results in Products that are Highly Functional and Long-Lasting.At Duravit, Sustainable Materials, Modern Expertise and the Foresight to Recognize What Will be Important Tomorrow Comprise the Essential Ingredients for Beautiful – and Responsible – Living Bathrooms.Not Without Reason is the Vero Ceramic Series a Modern Design Classic that has Now been a Duravit Bestseller for More Than a Decade: Its Consistently Rectangular Design is Not Only Elegant But also Timeless. with the New Bathroom Furniture Collection, Vero has been Promoted to a Complete Bathroom.Features:Urinal Cover Hinges Chrome With Slow Close Vero CollectionSKU: 0022190000",04053424469966,Vero,,"https://www.kbauthority.com/files/PDF/Duravit/Installation_Instructions_002219.pdf,",,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-0024090000-me-by-starck-urinal-cover-with-slow-close-in-white.html,Duravit 0024090000 ME by Starck Urinal Cover with Slow Close in White,0024090000,$208.10, 35%,$320.00,https://www.kbauthority.com/images/T/314/0024090000_Duravit.gif,"Duravit 0024090000 ME by Starck Urinal Cover with Slow Close in WhiteDuravit has been the Proud Recipient of Numerous International Design Awards.These Awards Celebrate Bold Design, which has Become Duravit’s Hallmark over the Years.Each Duravit Designer is a Specialist in His Field – a Prominent Global Innovator with an Inherent Sense for Good Design. Good Design, as Duravit and Its Designers See It, is never at the Expense of Practicality – Neither is Interested in “Design for Design’s Sake”.That’s You, the Bathroom User, and Your Own Set of Needs and Requirements. Thanks to an Ongoing Dialogue with Its Trade Partners and Sanitary Ware Dealers, Duravit is Best Able to Address these Needs and Requirements in the Brand’s Designs. Simply Put, Duravit Recognizes Good Bathroom Design by the Fact that It Seems Specially-Created to Suit All Individual Tastes.This Fusion of Duravit’s Environmentally-Friendly Production Technologies with the Company’s Meticulous Quality Control Results in Products that are Highly Functional and Long-Lasting.At Duravit, Sustainable Materials, Modern Expertise and the Foresight to Recognize What Will be Important Tomorrow Comprise the Essential Ingredients for Beautiful – and Responsible – Living Bathrooms.Perfectly Designed Forms that are Neither Intrusive Nor Dominating, Therefore Leaving Ample Room for Both Individuality and Design. Products that Appear Perfectly Proportioned From Every Angle and can Simultaneously Fulfill Individual Ideas. Me by Starck is the Result and the Framework for Your Own Personal Style, Whether It be Pure, Elegant, Natural, Or Completely Individualistic.The Me by Starck Bathroom Range, Designed for Duravit by the Renowned Philippe Starck, is Known for Its Streamlined Aesthetic and Countless Design Combinations. with the New Ada Compliant Configuration, Me by Starck Will Advance the Goal of the Entire Collection: to Offer Individualized Solutions for Any and Every Bathroom, with Design and Diversity in Mind.
The Me by Starck One-Piece Toilet Combines the Collection’s Signature Slim Edge with a Widely-Appealing, Modern Design. Duravit's Innovative Rimless Flush Technology Ensures a Dynamic and Powerful Flow of Water that Rinses the Entire Inner Surface, While Allowing for Efficient and Hygienic Maintenance. Duravit Developed Technology to Reduce the Weight of the Toilets, Resulting in Sleek, Self-Contained Components that do Not Require Attachment Niches on the Sides. Following Ada Compliant Adjustments, the Me by Starck One-Piece Will be Available in a Higher Toilet Seat Height (17 3/8”) with the Option of a Left Or Right Side Lever for Flush Control.Now, Me by Starck is also Available in White Satin Matte.The Toilets are Available White (Glossy) Inside and White Satin Matte on the Outside, to Guarantee Optimum Hygiene.Features:Urinal Cover Hinges Chrome With Slow Close Design by Philippe StarckMe by Starck CollectionSKU: 0024090000",04053424509259,ME by Starck,,"https://www.kbauthority.com/files/PDF/Duravit/Care_Instructions_002409.pdf,",,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701022000000000-blue-moon-acrylic-panel-for-corner-left-right-for-700143000000090-bathtub.html,Duravit 701022000000000 Blue Moon Acrylic Panel for Corner Left/Right for 700143000000090 Bathtub,701022000000000,$1321.14, 44%,$2345.00,https://www.kbauthority.com/images/T/55/duravit-blue-moon-acrylic-panel-for-left-right-corner-for-700143--dur-701022000000000_0.jpg,"Duravit 701022000000000 Blue Moon Acrylic Panel for Corner Left/Right for 700143000000090 Bathtub
SKU: 701022000000000",04021534401961,Blue Moon,,,"https://www.kbauthority.com/images/D.cache.dpicon/20700.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701023000000000-blue-moon-acrylic-panel-for-back-to-wall-version-for-700143000000090-bathtub.html,Duravit 701023000000000 Blue Moon Acrylic Panel for Back-to-Wall Version for 700143000000090 Bathtub,701023000000000,$2450.73, 44%,$4350.00,https://www.kbauthority.com/images/T/55/duravit-blue-moon-acrylic-panel-for-back-to-wall-version-for-700143--dur-701023000000000_0.jpg,"Duravit 701023000000000 Blue Moon Acrylic Panel for Back-to-Wall Version for 700143000000090 Bathtub
SKU: 701023000000000",04021534401978,Blue Moon,,,"https://www.kbauthority.com/images/D.cache.dpicon/20701.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701024000000000-blue-moon-acrylic-panel-for-freestanding-version-for-700143000000090-bathtub.html,Duravit 701024000000000 Blue Moon Acrylic Panel for Freestanding Version for 700143000000090 Bathtub,701024000000000,$2876.08, 44%,$5105.00,https://www.kbauthority.com/images/T/55/duravit-blue-moon-acrylic-panel-for-freestanding-version-for-700143--dur-701024000000000_0.jpg,"Duravit 701024000000000 Blue Moon Acrylic Panel for Freestanding Version for 700143000000090 Bathtub
SKU: 701023000000000",04021534401985,Blue Moon,,,"https://www.kbauthority.com/images/D.cache.dpicon/20702.jpg,","It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701039000000000-d-code-front-panel-for-59-inch-length-bathtubs-white.html,"Duravit 701039000000000 D-Code Front Panel for 59 Inch Length Bathtubs, White",701039000000000,$187.52, 35%,$290.00,https://www.kbauthority.com/images/T/58/546676_web2_prod_normal_2.jpg,"Duravit 701039000000000 D-Code Front Panel for 59 Inch Length Bathtubs, White
Features: 
		Finish: white
		For 59 Inch legth bathtubs
		Front panel
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701039000000000",04021534433993,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701040000000000-d-code-front-panel-for-63-inch-length-bathtubs-white.html,"Duravit 701040000000000 D-Code Front Panel for 63 Inch Length Bathtubs, White",701040000000000,$187.52, 35%,$290.00,https://www.kbauthority.com/images/T/58/546676_web2_prod_normal_2.jpg,"Duravit 701040000000000 D-Code Front Panel for 63 Inch Length Bathtubs, White
Features: 
		Finish: white
		For 63 Inch legth bathtubs
		Front panel
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701040000000000",04021534434006,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701041000000000-d-code-front-panel-for-67-inch-length-bathtubs-white.html,"Duravit 701041000000000 D-Code Front Panel for 67 Inch Length Bathtubs, White",701041000000000,$187.52, 35%,$290.00,https://www.kbauthority.com/images/T/58/546676_web2_prod_normal_2.jpg,"Duravit 701041000000000 D-Code Front Panel for 67 Inch Length Bathtubs, White
Features: 
		Finish: white
		For 67 Inch legth bathtubs
		Front panel
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701041000000000",04021534434013,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701042000000000-d-code-front-panel-for-70-7-8-inch-length-bathtubs-white.html,"Duravit 701042000000000 D-Code Front Panel for 70-7/8 Inch Length Bathtubs, White",701042000000000,$221.33, 37%,$350.00,https://www.kbauthority.com/images/T/58/546676_web2_prod_normal_2.jpg,"Duravit 701042000000000 D-Code Front Panel for 70-7/8 Inch Length Bathtubs, White
Features: 
		Finish: white
		For 70-7/8 Inch legth bathtubs
		Front panel
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701042000000000",04021534434020,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701043000000000-d-code-side-panel-right-for-27-1-2-inch-width-bathtubs-white.html,"Duravit 701043000000000 D-Code Side Panel Right for 27-1/2 Inch Width Bathtubs, White",701043000000000,$127.62, 36%,$200.00,https://www.kbauthority.com/images/T/58/546677_web2_prod_normal_2.jpg,"Duravit 701043000000000 D-Code Side Panel Right for 27-1/2 Inch Width Bathtubs, White
Features: 
		Finish: white
		For 27-1/2 Inch width bathtubs
		Side panel
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701043000000000",04021534434037,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701044000000000-d-code-side-panel-right-for-29-1-2-inch-width-bathtubs-white.html,"Duravit 701044000000000 D-Code Side Panel Right for 29-1/2 Inch Width Bathtubs, White",701044000000000,$127.62, 36%,$200.00,https://www.kbauthority.com/images/T/58/546677_web2_prod_normal_2.jpg,"Duravit 701044000000000 D-Code Side Panel Right for 29-1/2 Inch Width Bathtubs, White
Features: 
		Finish: white
		For 29-1/2 Inch width bathtubs
		Side panel right
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701044000000000",04021534434044,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701045000000000-d-code-side-panel-right-for-31-1-2-inch-width-bathtubs-white.html,"Duravit 701045000000000 D-Code Side Panel Right for 31-1/2 Inch Width Bathtubs, White",701045000000000,$150.90, 33%,$225.00,https://www.kbauthority.com/images/T/58/546677_web2_prod_normal_2.jpg,"Duravit 701045000000000 D-Code Side Panel Right for 31-1/2 Inch Width Bathtubs, White
Features: 
		Finish: white
		For 31-1/2 Inch width bathtubs
		Side panel right
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701045000000000",04021534434051,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701046000000000-d-code-side-panel-left-for-27-1-2-inch-width-bathtubs-white.html,"Duravit 701046000000000 D-Code Side Panel Left for 27-1/2 Inch Width Bathtubs, White",701046000000000,$127.62, 36%,$200.00,https://www.kbauthority.com/images/T/58/546677_web2_prod_normal_2.jpg,"Duravit 701046000000000 D-Code Side Panel Left for 27-1/2 Inch Width Bathtubs, White
Features: 
		Finish: white
		For 27-1/2 Inch width bathtubs
		Side panel left
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701046000000000",04021534434068,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701047000000000-d-code-side-panel-left-for-29-1-2-inch-width-bathtubs-white.html,"Duravit 701047000000000 D-Code Side Panel Left for 29-1/2 Inch Width Bathtubs, White",701047000000000,$127.62, 36%,$200.00,https://www.kbauthority.com/images/T/58/546677_web2_prod_normal_2.jpg,"Duravit 701047000000000 D-Code Side Panel Left for 29-1/2 Inch Width Bathtubs, White
Features: 
		Finish: white
		For 29-1/2 Inch width bathtubs
		Side panel left
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701047000000000",04021534434075,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701048000000000-d-code-side-panel-left-for-31-1-2-inch-width-bathtubs-white.html,"Duravit 701048000000000 D-Code Side Panel Left for 31-1/2 Inch Width Bathtubs, White",701048000000000,$150.90, 33%,$225.00,https://www.kbauthority.com/images/T/58/546677_web2_prod_normal_2.jpg,"Duravit 701048000000000 D-Code Side Panel Left for 31-1/2 Inch Width Bathtubs, White
Features: 
		Finish: white
		For 31-1/2 Inch width bathtubs
		Side panel left
* We recommend to use tile flange and bathtub anchors for the installation of the panels 
SKU: 701048000000000",04021534434082,D-Code,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701065000000000-starck-tub-acrylic-front-panel-for-59-inch-length-bathtubs-white.html,"Duravit 701065000000000 Starck Tub Acrylic Front Panel for 59 Inch Length Bathtubs, White",701065000000000,$300.20, 39%,$490.00,https://www.kbauthority.com/images/T/59/572835_web2_prod_normal_2.jpg,"Duravit 701065000000000 Starck Tub Acrylic Front Panel for 59 Inch Length Bathtubs, White
Features: 
		Finish: white
		For 59 Inch legth bathtubs
		Front panel
Additional information:
* The support frame # 790100000000000 is not included in the scope of delivery of the Starck acrylic panel and needs to be ordered separately
See related products below
SKU: 701065000000000",04021534485671,Starck,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701066000000000-starck-tub-acrylic-front-panel-for-63-inch-length-bathtubs-white.html,"Duravit 701066000000000 Starck Tub Acrylic Front Panel for 63 Inch Length Bathtubs, White",701066000000000,$300.20, 39%,$490.00,https://www.kbauthority.com/images/T/59/572835_web2_prod_normal_2.jpg,"Duravit 701066000000000 Starck Tub Acrylic Front Panel for 63 Inch Length Bathtubs, White
Features: 
		Finish: white
		For 63 Inch legth bathtubs
		Front panel
Additional information:
* The support frame # 790100000000000 is not included in the scope of delivery of the Starck acrylic panel and needs to be ordered separately
See related products below
SKU: 701066000000000",04021534485688,Starck,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701067000000000-starck-tub-acrylic-front-panel-for-67-inch-length-bathtubs-white.html,"Duravit 701067000000000 Starck Tub Acrylic Front Panel for 67 Inch Length Bathtubs, White",701067000000000,$339.35, 37%,$535.00,https://www.kbauthority.com/images/T/59/572835_web2_prod_normal_2.jpg,"Duravit 701067000000000 Starck Tub Acrylic Front Panel for 67 Inch Length Bathtubs, White
Features: 
		Finish: white
		For 67 Inch legth bathtub
		Front panel
Additional information:
* The support frame # 790100000000000 is not included in the scope of delivery of the Starck acrylic panel and needs to be ordered separately
See related products below
SKU: 701067000000000",04021534485695,Starck,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701068000000000-starck-tub-acrylic-front-panel-for-70-7-8-inch-length-bathtubs-white.html,"Duravit 701068000000000 Starck Tub Acrylic Front Panel for 70-7/8 Inch Length Bathtubs, White",701068000000000,$347.81, 37%,$550.00,https://www.kbauthority.com/images/T/59/572835_web2_prod_normal_2.jpg,"Duravit 701068000000000 Starck Tub Acrylic Front Panel for 70-7/8 Inch Length Bathtubs, White
Features: 
		Finish: white
		For 70-7/8 Inch legth bathtub
		Front panel
Additional information:
* The support frame # 790100000000000 is not included in the scope of delivery of the Starck acrylic panel and needs to be ordered separately
See related products below
SKU: 701068000000000",04021534485701,Starck,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701069000000000-starck-tub-acrylic-front-panel-for-74-3-4-inch-length-bathtubs-white.html,"Duravit 701069000000000 Starck Tub Acrylic Front Panel for 74-3/4 Inch Length Bathtubs, White",701069000000000,$364.70, 37%,$580.00,https://www.kbauthority.com/images/T/59/572835_web2_prod_normal_2.jpg,"Duravit 701069000000000 Starck Tub Acrylic Front Panel for 74-3/4 Inch Length Bathtubs, White
Features: 
		Finish: white
		For 74-3/4 Inch legth bathtub
		Front panel
Additional information:
* The support frame # 790100000000000 is not included in the scope of delivery of the Starck acrylic panel and needs to be ordered separately
See related products below
SKU: 701069000000000",04021534485657,Starck,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701071000000000-starck-tub-acrylic-side-panel-for-27-1-2-inch-width-bathtubs-white.html,"Duravit 701071000000000 Starck Tub Acrylic Side Panel for 27-1/2 Inch Width Bathtubs, White",701071000000000,$215.69, 37%,$340.00,https://www.kbauthority.com/images/T/58/572836_web2_prod_normal_2.jpg,"Duravit 701071000000000 Starck Tub Acrylic Side Panel for 27-1/2 Inch Width Bathtubs, White
Features: 
		Finish: white
		For 27-1/2 Inch width bathtubs
		Side panel
Additional information:
* The support frame # 790100000000000 is not included in the scope of delivery of the Starck acrylic panel and needs to be ordered separately
See related products below
SKU: 701071000000000",04021534485596,Starck,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
Home > Bath > All Bath Brands > Duravit>Covers and Panels,https://www.kbauthority.com/duravit-701072000000000-starck-tub-acrylic-side-panel-for-29-1-2-inch-width-bathtubs-white.html,"Duravit 701072000000000 Starck Tub Acrylic Side Panel for 29-1/2 Inch Width Bathtubs, White",701072000000000,$215.69, 37%,$340.00,https://www.kbauthority.com/images/T/59/572836_web2_prod_normal_2-01.jpg,"Duravit 701072000000000 Starck Tub Acrylic Side Panel for 29-1/2 Inch Width Bathtubs, White
Features: 
		Finish: white
		For 29-1/2 Inch width bathtubs
		Side panel
Additional information:
* The support frame # 790100000000000 is not included in the scope of delivery of the Starck acrylic panel and needs to be ordered separately
See related products below
SKU: 701072000000000",04021534485602,Starck,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide."
